"outcome","term","estimate","std.error","rep","seed"
"irae","practice.typeCommunity",0.0665563067001522,0.0344786781957947,5,1005
"irae","tx.combo",0.262688784889505,0.0317916883563395,5,1005
"irae","pd.l1Low",0.100899975829103,0.0368205413753527,5,1005
"irae","pd.l1High",0.274236110831815,0.0412462684225653,5,1005
"irae","on.ici",0.36584034724878,0.0501518102771212,5,1005
"death","(Intercept)",-9.28492670256294,0.095437286297705,6,1006
"death","ns(month, df = 3)1",0.432113816436589,0.0478677093237006,6,1006
"death","ns(month, df = 3)2",0.754656335681607,0.08379517111397,6,1006
"death","ns(month, df = 3)3",0.731457238331966,0.043434517483635,6,1006
"death","age",0.0528764796794631,0.00107072459449919,6,1006
"death","sexFemale",0.0206737066251152,0.0199594385023536,6,1006
"death","ecog1",0.510331556790422,0.0232045768107994,6,1006
"death","ecog2",0.988266015065079,0.0303248396791632,6,1006
"death","ecog3",1.62597031839677,0.0445514472202181,6,1006
"death","cancer.typeBladder",0.200962580554128,0.0350733459526416,6,1006
"death","cancer.typeKidney",0.312974555090372,0.0347781144634067,6,1006
"death","cancer.typeMelanoma",-0.0850417184404998,0.0382524524131175,6,1006
"death","practice.typeCommunity",0.07823544681286,0.0221171549347514,6,1006
"death","initial.stageIV",0.43138307257438,0.0232996806537535,6,1006
"death","on.ici",-0.237369114499844,0.0272254044667246,6,1006
"irae","(Intercept)",-5.90013598391489,0.137079182055173,6,1006
"irae","ns(month, df = 3)1",-0.157483060337519,0.0777648233044909,6,1006
"irae","ns(month, df = 3)2",-0.366093018021388,0.115475178543447,6,1006
"irae","ns(month, df = 3)3",-0.553990733735289,0.0895854582872826,6,1006
"irae","age",-0.00059552030794556,0.00166588851326366,6,1006
"irae","sexFemale",0.212944786750634,0.0320855626865368,6,1006
"irae","ecog1",-0.123988323995169,0.0355904005878054,6,1006
"irae","ecog2",0.15728571037951,0.056300584946313,6,1006
"irae","ecog3",-0.0147718176455031,0.118384785279357,6,1006
"irae","cancer.typeBladder",0.00329846056172359,0.0623565882475799,6,1006
"irae","cancer.typeKidney",-0.083422537174254,0.0644221333836099,6,1006
"irae","cancer.typeMelanoma",0.268983092081212,0.0552278755493257,6,1006
"irae","practice.typeCommunity",-0.0298870511142351,0.0349815574176315,6,1006
"irae","tx.combo",0.214884128087541,0.0325987004827185,6,1006
"irae","pd.l1Low",-0.125736014016711,0.0385896161439761,6,1006
"irae","pd.l1High",0.0571601336227938,0.0433484573656169,6,1006
"irae","on.ici",0.287861781627534,0.0488077569147605,6,1006
"death","(Intercept)",-8.93090861481885,0.0948458216186237,7,1007
"death","ns(month, df = 3)1",0.33339000936839,0.0473903092501335,7,1007
"death","ns(month, df = 3)2",1.06366828917001,0.0842588529619445,7,1007
"death","ns(month, df = 3)3",0.952233539995044,0.042952998886763,7,1007
"death","age",0.0462693856619428,0.00107174745184807,7,1007
"death","sexFemale",-0.0226013892409443,0.0198532459355519,7,1007
"death","ecog1",0.562128956605671,0.023178403456303,7,1007
"death","ecog2",1.24131287471049,0.0299765320886846,7,1007
"death","ecog3",1.43072616883286,0.0463472637904889,7,1007
"death","cancer.typeBladder",0.18132578356757,0.0349836656963759,7,1007
"death","cancer.typeKidney",0.144349705353921,0.0364116798015555,7,1007
"death","cancer.typeMelanoma",0.0422885776607017,0.0358963566005872,7,1007
