"strategy","month","true.surv.death","true.surv.irae"
"cont",24,0.848033333333333,0.9205
"cont",25,0.8416,0.918166666666667
"cont",26,0.8347,0.915366666666667
"cont",27,0.827433333333333,0.913366666666667
"cont",28,0.821233333333333,0.911033333333333
"cont",29,0.8141,0.908833333333333
"cont",30,0.806733333333333,0.906533333333333
"cont",31,0.799633333333333,0.904233333333333
"cont",32,0.792533333333333,0.9017
"cont",33,0.785966666666667,0.899
"cont",34,0.779566666666667,0.896766666666667
"cont",35,0.772933333333333,0.894733333333333
"cont",36,0.766733333333333,0.892366666666667
"cont",37,0.7601,0.8898
"cont",38,0.7528,0.8876
"cont",39,0.7464,0.885266666666667
"cont",40,0.739233333333333,0.883166666666667
"cont",41,0.7335,0.880633333333333
"cont",42,0.727033333333333,0.878366666666667
"cont",43,0.7206,0.8764
"cont",44,0.7133,0.8742
"cont",45,0.706566666666667,0.8723
"cont",46,0.699333333333333,0.870333333333333
"cont",47,0.6934,0.868166666666667
"cont",48,0.687233333333333,0.8661
